code,name,freq,listed_in,amount
THA,Thailand,51,"Horror Movies",15
THA,Thailand,51,"International Movies",35
THA,Thailand,51,"Romantic Movies",9
DOM,"Dominican Republic",2,Documentaries,1
DOM,"Dominican Republic",2,"International Movies",2
MEX,Mexico,107,"Action & Adventure",5
MEX,Mexico,107,"Sci-Fi & Fantasy",2
BRA,Brazil,56,"TV Mysteries",1
MEX,Mexico,107,"Stand-Up Comedy",16
JPN,Japan,161,"Music & Musicals",3
ISR,Israel,20,"Horror Movies",1
ISR,Israel,20,"Independent Movies",4
THA,Thailand,51,"Action & Adventure",7
COL,Colombia,30,"Romantic TV Shows",2
EGY,Egypt,53,"Romantic Movies",5
EGY,Egypt,53,Thrillers,2
SWE,Sweden,26,Documentaries,8
TWN,Taiwan,72,"TV Comedies",38
ARE,"United Arab Emirates",19,Dramas,10
RUS,Russia,17,"Action & Adventure",2
RUS,Russia,17,Dramas,3
RUS,Russia,17,"International Movies",6
THA,Thailand,51,"Crime TV Shows",3
AUS,Australia,97,"TV Dramas",7
IND,India,748,"Cult Movies",2
BGR,Bulgaria,7,"Horror Movies",1
BGR,Bulgaria,7,"Independent Movies",1
DNK,Denmark,30,Documentaries,9
NLD,Netherlands,31,Documentaries,9
IND,India,748,"Sci-Fi & Fantasy",11
AZE,Azerbaijan,1,"International TV Shows",1
AZE,Azerbaijan,1,"Romantic TV Shows",1
TUR,Turkey,79,"Romantic TV Shows",2
AZE,Azerbaijan,1,"TV Dramas",1
KOR,"South Korea",133,Thrillers,11
GBR,"United Kingdom",471,"Science & Nature TV",23
BRA,Brazil,56,Thrillers,2
ARG,Argentina,61,Thrillers,5
PER,Peru,9,Documentaries,3
ISR,Israel,20,Documentaries,5
USA,"United States",2054,"British TV Shows",15
USA,"United States",2054,"Classic & Cult TV",1
CHN,China,111,"Horror Movies",1
CHN,China,111,Thrillers,4
EGY,Egypt,53,"International TV Shows",9
EGY,Egypt,53,"Romantic TV Shows",2
EGY,Egypt,53,"TV Dramas",7
CAN,Canada,228,"LGBTQ Movies",2
THA,Thailand,51,Dramas,3
SGP,Singapore,25,"TV Dramas",6
BEL,Belgium,59,Documentaries,5
SWE,Sweden,26,"International Movies",10
ESP,Spain,155,Docuseries,6
ARG,Argentina,61,"Sci-Fi & Fantasy",1
IND,India,748,"LGBTQ Movies",2
CHL,Chile,22,"International Movies",13
JOR,Jordan,6,Dramas,3
JOR,Jordan,6,"International Movies",5
JOR,Jordan,6,Thrillers,2
ARE,"United Arab Emirates",19,Thrillers,4
RUS,Russia,17,"Kids' TV",2
CAN,Canada,228,"TV Thrillers",1
NZL,"New Zealand",17,Dramas,4
NZL,"New Zealand",17,"Independent Movies",2
JPN,Japan,161,"Sci-Fi & Fantasy",6
MYS,Malaysia,19,Comedies,5
MYS,Malaysia,19,"Romantic Movies",1
USA,"United States",2054,"Romantic TV Shows",12
DEU,Germany,122,"Music & Musicals",5
LBN,Lebanon,9,"Romantic TV Shows",1
TUR,Turkey,79,"Action & Adventure",5
BGR,Bulgaria,7,"International Movies",3
JPN,Japan,161,"TV Comedies",6
TWN,Taiwan,72,Comedies,2
JPN,Japan,161,"Cult Movies",1
PAK,Pakistan,23,"Music & Musicals",3
PRT,Portugal,4,"Romantic Movies",1
BGR,Bulgaria,7,Thrillers,2
DEU,Germany,122,"Kids' TV",2
ESP,Spain,155,"Sports Movies",3
SGP,Singapore,25,"Crime TV Shows",2
USA,"United States",2054,"Korean TV Shows",1
CAN,Canada,228,Movies,3
BRA,Brazil,56,Comedies,10
DNK,Denmark,30,"Children & Family Movies",2
COL,Colombia,30,Dramas,4
COL,Colombia,30,"Independent Movies",2
AUS,Australia,97,Documentaries,13
AUS,Australia,97,"Music & Musicals",3
AUS,Australia,97,"Classic Movies",2
AUS,Australia,97,"Children & Family Movies",14
CAN,Canada,228,"Crime TV Shows",4
CAN,Canada,228,"TV Dramas",5
IND,India,748,"TV Sci-Fi & Fantasy",3
JPN,Japan,161,"Horror Movies",3
LUX,Luxembourg,7,"Children & Family Movies",3
FRA,France,227,"Sci-Fi & Fantasy",6
NLD,Netherlands,31,"Independent Movies",3
CHE,Switzerland,15,"International TV Shows",1
CHE,Switzerland,15,"TV Comedies",1
CHE,Switzerland,15,"TV Dramas",1
MNE,Montenegro,1,Dramas,1
SRB,Serbia,4,Dramas,2
SVN,Slovenia,3,Dramas,1
HRV,Croatia,3,Dramas,2
MNE,Montenegro,1,"International Movies",1
SRB,Serbia,4,"International Movies",2
SVN,Slovenia,3,"International Movies",2
HRV,Croatia,3,"International Movies",2
ITA,Italy,55,"Stand-Up Comedy",4
GBR,"United Kingdom",471,"LGBTQ Movies",3
HKG,"Hong Kong",96,"Romantic Movies",10
ESP,Spain,155,"Sci-Fi & Fantasy",7
VEN,Venezuela,3,Documentaries,3
VEN,Venezuela,3,"International Movies",2
JOR,Jordan,6,"International TV Shows",1
JOR,Jordan,6,"TV Dramas",1
JOR,Jordan,6,"TV Mysteries",1
LBN,Lebanon,9,"TV Mysteries",1
DEU,Germany,122,"Faith & Spirituality",1
ITA,Italy,55,"Faith & Spirituality",1
CHE,Switzerland,15,"Faith & Spirituality",1
MAR,Morocco,6,Documentaries,1
MAR,Morocco,6,"International Movies",3
NLD,Netherlands,31,"Music & Musicals",1
