code,name,freq,listed_in,amount,type_i
KOR,"South Korea",133,Thrillers,11,Movie
GBR,"United Kingdom",471,"Science & Nature TV",23,"TV Show"
BRA,Brazil,56,Thrillers,2,Movie
ARG,Argentina,61,Thrillers,5,Movie
PER,Peru,9,Documentaries,3,Movie
ISR,Israel,20,Documentaries,5,Movie
USA,"United States",2054,"British TV Shows",15,"TV Show"
USA,"United States",2054,"Classic & Cult TV",1,"TV Show"
CHN,China,111,"Horror Movies",1,Movie
CHN,China,111,Thrillers,4,Movie
EGY,Egypt,53,"International TV Shows",9,"TV Show"
EGY,Egypt,53,"Romantic TV Shows",2,"TV Show"
EGY,Egypt,53,"TV Dramas",7,Movie
CAN,Canada,228,"LGBTQ Movies",2,Movie
THA,Thailand,51,Dramas,3,Movie
SGP,Singapore,25,"TV Dramas",6,Movie
BEL,Belgium,59,Documentaries,5,Movie
SWE,Sweden,26,"International Movies",10,Movie
ESP,Spain,155,Docuseries,6,"TV Show"
ARG,Argentina,61,"Sci-Fi & Fantasy",1,Movie
IND,India,748,"LGBTQ Movies",2,Movie
CHL,Chile,22,"International Movies",13,Movie
JOR,Jordan,6,Dramas,3,Movie
JOR,Jordan,6,"International Movies",5,Movie
JOR,Jordan,6,Thrillers,2,Movie
ARE,"United Arab Emirates",19,Thrillers,4,Movie
RUS,Russia,17,"Kids' TV",2,"TV Show"
CAN,Canada,228,"TV Thrillers",1,Movie
NZL,"New Zealand",17,Dramas,4,Movie
NZL,"New Zealand",17,"Independent Movies",2,Movie
JPN,Japan,161,"Sci-Fi & Fantasy",6,Movie
MYS,Malaysia,19,Comedies,5,Movie
MYS,Malaysia,19,"Romantic Movies",1,Movie
USA,"United States",2054,"Romantic TV Shows",12,"TV Show"
DEU,Germany,122,"Music & Musicals",5,Movie
LBN,Lebanon,9,"Romantic TV Shows",1,"TV Show"
TUR,Turkey,79,"Action & Adventure",5,Movie
BGR,Bulgaria,7,"International Movies",3,Movie
JPN,Japan,161,"TV Comedies",6,Movie
TWN,Taiwan,72,Comedies,2,Movie
JPN,Japan,161,"Cult Movies",1,Movie
PAK,Pakistan,23,"Music & Musicals",3,Movie
PRT,Portugal,4,"Romantic Movies",1,Movie
BGR,Bulgaria,7,Thrillers,2,Movie
DEU,Germany,122,"Kids' TV",2,"TV Show"
